customer_id,age,tenure_months,monthly_spend,support_tickets_90d,email_engagement,prior_discount_user,region,segment,region_north,region_south,region_west,segment_smallbiz,segment_enterprise,treatment,outcome,true_uplift_logit,p_if_treated,p_if_control,pred_uplift
8091,49,84,142.16,4,0.6496,1,west,consumer,0,0,1,0,0,0,1,0.83,0.7134803869919516,0.3245470667392167,0.3889333202527349
11649,45,9,82.96,4,0.6446,0,west,consumer,0,0,1,0,0,1,0,1.18,0.5766647548760626,0.18942776682416332,0.3872369880518993
7817,50,61,112.07,4,0.8142,1,south,enterprise,0,1,0,0,1,1,1,1.13,0.7189313565290028,0.3326376668829127,0.38629368964609007
4740,49,15,167.21,4,0.5974,1,east,enterprise,0,0,0,0,1,0,1,1.48,0.6803616584933455,0.29584750525054027,0.38451415324280525
316,57,6,65.39,3,0.8911,0,north,consumer,1,0,0,0,0,1,0,1.18,0.6395425604033503,0.25560792420500905,0.3839346361983413
2688,52,7,131.56,2,0.7988,1,west,consumer,0,0,1,0,0,1,1,1.48,0.7688227289283827,0.3852029387272935,0.38361979020108916
10466,43,7,142.52,2,0.5672,1,east,smallbiz,0,0,0,1,0,0,0,1.7,0.7245288622376422,0.34155425495700725,0.382974607280635
7455,54,33,93.15,4,0.7385,1,west,smallbiz,0,0,1,1,0,1,1,1.35,0.7317960322287672,0.3492666795444503,0.3825293526843169
11742,56,5,52.42,3,0.5814,1,north,consumer,1,0,0,0,0,1,1,1.48,0.6224869193338058,0.24097792881419627,0.38150899051960957
2062,51,1,93.92,4,0.4758,1,west,consumer,0,0,1,0,0,0,0,1.48,0.6117409500262914,0.23072931656132112,0.38101163346497025
8629,36,30,76.25,3,0.6104,1,north,smallbiz,1,0,0,1,0,0,1,1.35,0.6656394309442596,0.284896229948442,0.3807432009958176
4958,41,34,139.42,4,0.6005,1,south,consumer,0,1,0,0,0,0,1,1.13,0.6630768555979115,0.28297155338119073,0.3801053022167208
312,57,12,65.11,4,0.5975,0,east,consumer,0,0,0,0,0,1,0,1.18,0.5601680450093598,0.1802830976474543,0.3798849473619055
140,45,17,78.53,1,0.4859,1,west,enterprise,0,0,1,0,1,0,0,1.3,0.6699441655098919,0.2939892395810963,0.3759549259287956
11709,44,23,72.61,3,0.6733,0,east,consumer,0,0,0,0,0,1,1,1.18,0.5936137138444766,0.22017015418484195,0.3734435596596346
5252,44,6,129.21,2,0.6555,1,south,consumer,0,1,0,0,0,0,0,1.48,0.7019444800193739,0.3308582307365331,0.37108624928284084
2154,50,28,67.06,5,0.6235,0,north,consumer,1,0,0,0,0,1,0,0.83,0.5703918701772818,0.2024378165853036,0.3679540535919782
3203,63,13,135.09,2,0.8058,1,east,consumer,0,0,0,0,0,0,0,1.48,0.7878746547185448,0.42070884199562014,0.36716581272292464
8489,50,25,108.53,4,0.5103,0,north,enterprise,1,0,0,0,1,1,1,0.83,0.5876988193388409,0.22483760749764695,0.362861211841194
3078,65,16,114.92,5,0.8598,1,south,consumer,0,1,0,0,0,0,0,1.48,0.6785046374006554,0.31647712939458295,0.3620275080060724
2870,32,2,122.06,5,0.6907,1,north,consumer,1,0,0,0,0,0,0,1.48,0.5898592894372042,0.22837882706833354,0.36148046236887066
8558,36,6,98.91,3,0.4756,1,south,smallbiz,0,1,0,1,0,1,1,1.7,0.6105882279624149,0.2505587282444887,0.36002949971792614
5614,39,3,140.45,2,0.5326,1,west,smallbiz,0,0,1,1,0,0,0,1.7,0.6837652936179319,0.32412008593039787,0.35964520768753405
6909,29,12,186.78,3,0.6449,1,north,consumer,1,0,0,0,0,1,1,1.3,0.677184291969306,0.3192581476268062,0.35792614434249975
6197,55,24,74.83,2,0.6213,1,east,consumer,0,0,0,0,0,1,1,1.13,0.6563601238333896,0.2986870044047919,0.3576731194285977
8078,41,63,110.45,4,0.6304,1,east,consumer,0,0,0,0,0,0,1,1.13,0.660228193359232,0.3038969453030699,0.3563312480561621
84,66,1,123.45,2,0.571,1,east,consumer,0,0,0,0,0,0,1,1.48,0.7151415331019385,0.35935820629616855,0.35578332680576996
4745,59,33,138.03,3,0.4907,1,north,smallbiz,1,0,0,1,0,0,0,1.35,0.7629569700928911,0.40766463555645444,0.35529233453643666
7801,44,12,116.26,3,0.5343,0,north,consumer,1,0,0,0,0,0,1,1.18,0.5575167324012703,0.20311066833318914,0.3544060640680812
1750,60,28,123.53,2,0.4851,1,west,smallbiz,0,0,1,1,0,0,0,1.35,0.7582229421365576,0.40411036357606145,0.35411257856049616
8340,46,18,112.59,2,0.633,0,east,enterprise,0,0,0,0,1,1,1,1.18,0.6020615680922067,0.24820887735263933,0.3538526907395674
10549,43,42,143.11,3,0.6538,1,north,consumer,1,0,0,0,0,1,1,1.13,0.7579277333491596,0.40417931147501684,0.3537484218741428
75,58,21,124.42,4,0.6372,0,west,consumer,0,0,1,0,0,0,1,1.18,0.5962318571455699,0.242744097759081,0.3534877593864889
1017,42,82,121.79,4,0.6464,1,east,enterprise,0,0,0,0,1,0,0,0.83,0.6794607781320787,0.32729205640987163,0.3521687217222071
10394,45,3,110.25,1,0.4912,1,east,consumer,0,0,0,0,0,1,1,1.3,0.6583471966742663,0.3072669765521392,0.35108022012212714
6360,48,5,75.01,2,0.5517,0,north,consumer,1,0,0,0,0,0,0,1.18,0.5539790756393064,0.2031561195849304,0.35082295605437597
7598,43,7,103.15,1,0.6271,1,west,consumer,0,0,1,0,0,0,0,1.3,0.6835816310443084,0.3341237348328184,0.34945789621149
2560,53,89,99.28,4,0.5196,1,south,smallbiz,0,1,0,1,0,1,0,1.05,0.6844196494661217,0.335535017900122,0.34888463156599964
9066,56,42,133.84,4,0.6671,0,north,consumer,1,0,0,0,0,0,0,0.83,0.631464922722246,0.28428608801504573,0.34717883470720023
1524,29,71,139.25,5,0.6429,1,south,consumer,0,1,0,0,0,0,0,1.13,0.6450426053523421,0.29832478603224866,0.3467178193200935
8778,60,18,145.32,3,0.8038,0,west,consumer,0,0,1,0,0,1,1,1.18,0.6778813089784529,0.33193612176968096,0.34594518720877193
4760,59,51,136.0,3,0.7731,1,south,consumer,0,1,0,0,0,0,1,1.13,0.7858145627214372,0.441135382045697,0.3446791806757402
7594,56,3,111.18,3,0.6277,0,east,smallbiz,0,0,0,1,0,0,0,1.4,0.6098691550571369,0.26595951893265535,0.34390963612448155
11887,41,50,85.56,3,0.5183,1,west,consumer,0,0,1,0,0,0,1,1.13,0.6762326961518219,0.33285014138795366,0.34338255476386825
3544,63,12,87.66,3,0.633,0,south,consumer,0,1,0,0,0,0,1,1.18,0.5901290428627642,0.2468707044096739,0.34325833845309034
7488,49,78,131.64,5,0.7387,1,south,smallbiz,0,1,0,1,0,1,1,1.05,0.7160386666114408,0.37316355966345083,0.34287510694798995
3050,59,23,48.45,3,0.6438,0,north,consumer,1,0,0,0,0,1,0,1.18,0.5884039394020533,0.24706451688263048,0.3413394225194228
832,34,19,186.84,3,0.7415,1,west,consumer,0,0,1,0,0,0,1,1.3,0.7009403564491944,0.36016336193391735,0.34077699451527704
10213,68,20,72.31,4,0.6428,1,north,consumer,1,0,0,0,0,0,0,1.48,0.6535262198894737,0.3135742904542978,0.3399519294351759
4230,21,16,137.58,1,0.9055,1,north,consumer,1,0,0,0,0,1,1,1.3,0.7011664803656869,0.36213731531690585,0.339029165048781
2157,45,48,67.6,3,0.5055,1,east,smallbiz,0,0,0,1,0,1,0,1.35,0.6963694878725932,0.357434980074779,0.33893450779781426
1341,50,2,109.49,5,0.8383,0,west,smallbiz,0,0,1,1,0,1,1,1.4,0.6153066974399227,0.27954669932064846,0.33575999811927426
6841,36,8,91.47,1,0.4747,1,east,smallbiz,0,0,0,1,0,1,1,1.52,0.6453207222449395,0.30994970691181006,0.33537101533312946
8467,42,86,86.48,4,0.5802,1,south,consumer,0,1,0,0,0,0,0,0.83,0.604474308959175,0.2692629138007231,0.3352113951584519
8250,75,20,115.4,2,0.6309,1,north,smallbiz,1,0,0,1,0,1,1,1.7,0.7733861684507047,0.4392244727359629,0.33416169571474186
6948,43,10,73.69,3,0.4977,0,south,consumer,0,1,0,0,0,1,0,1.18,0.5105361028062287,0.1764536844380526,0.33408241836817615
2635,25,4,142.57,2,0.6444,1,south,enterprise,0,1,0,0,1,1,1,1.48,0.6487063299136039,0.31601322148793737,0.3326931084256665
5789,50,24,153.85,1,0.4902,1,east,consumer,0,0,0,0,0,0,1,0.95,0.7372881217531738,0.40468859347472314,0.3325995282784507
11108,30,14,77.92,2,0.8453,0,north,enterprise,1,0,0,0,1,0,0,1.18,0.6101400636917325,0.27788111736866516,0.3322589463230673
3127,66,7,133.24,0,0.862,1,west,consumer,0,0,1,0,0,1,1,1.3,0.790618270015034,0.4587302490213034,0.33188802099373066
1866,43,69,130.79,3,0.7176,1,south,consumer,0,1,0,0,0,1,0,1.13,0.7394479400057706,0.4096861957568367,0.32976174424893395
3216,35,8,109.11,3,0.6282,0,west,consumer,0,0,1,0,0,1,1,1.18,0.5469286630211249,0.217737595406428,0.32919106761469685
10404,30,15,116.87,1,0.8952,1,north,consumer,1,0,0,0,0,1,1,1.3,0.6688442653033073,0.34018634774532197,0.32865791755798535
1075,46,114,131.59,5,0.6963,1,west,smallbiz,0,0,1,1,0,0,0,1.05,0.7043313062587208,0.3762981831242587,0.32803312313446203
2787,36,28,143.88,0,0.6206,1,north,consumer,1,0,0,0,0,0,1,0.95,0.7332647165679913,0.40591228298025667,0.32735243358773464
2644,46,5,124.04,3,0.5927,0,south,enterprise,0,1,0,0,1,0,1,1.18,0.5419370660972452,0.2147379719145909,0.32719909418265436
6731,58,5,81.87,0,0.5231,1,south,enterprise,0,1,0,0,1,1,1,1.3,0.6785887467692501,0.35217006211890256,0.3264186846503475
11322,44,93,118.95,5,0.8513,0,east,consumer,0,0,0,0,0,1,1,0.53,0.6246526988202212,0.2988417729511543,0.3258109258690669
5131,38,56,133.87,4,0.5162,0,east,consumer,0,0,0,0,0,0,1,0.83,0.5713521945350248,0.24753572318180053,0.32381647135322433
4387,35,76,110.37,4,0.628,1,north,consumer,1,0,0,0,0,1,1,0.83,0.6413228770929665,0.31759128392883257,0.32373159316413397
6283,53,4,169.32,2,0.841,1,north,smallbiz,1,0,0,1,0,1,1,1.7,0.7715395468785571,0.4478346821882666,0.3237048646902905
7933,44,10,57.87,0,0.6015,0,west,enterprise,0,0,1,0,1,1,0,1.0,0.6158204164733637,0.2924483500332073,0.3233720664401564
11249,71,4,82.56,3,0.512,0,west,consumer,0,0,1,0,0,1,1,1.18,0.6200120038735172,0.29721506138954457,0.3227969424839726
6630,37,21,92.42,0,0.5425,1,west,smallbiz,0,0,1,1,0,0,1,1.52,0.7018830872920744,0.37911445159009377,0.3227686357019806
6617,46,68,45.31,4,0.8407,0,north,consumer,1,0,0,0,0,0,0,0.83,0.6269356350062235,0.30416821004589883,0.3227674249603247
4719,43,3,98.42,0,0.733,1,west,consumer,0,0,1,0,0,1,1,1.3,0.6989742828567407,0.37655852274359614,0.32241576011314454
11225,64,26,106.91,4,0.6872,0,west,consumer,0,0,1,0,0,1,0,0.83,0.6229743751901805,0.30104111424638474,0.32193326094379576
10735,42,23,141.31,3,0.6784,0,east,consumer,0,0,0,0,0,1,1,1.18,0.6034881703177549,0.2818002750670467,0.32168789525070823
7663,44,24,62.02,1,0.5935,1,north,enterprise,1,0,0,0,1,0,1,0.95,0.620365480219054,0.29893795867181,0.321427521547244
410,21,18,117.41,0,0.6158,1,west,smallbiz,0,0,1,1,0,0,1,1.52,0.6761278527229722,0.35470985392240434,0.3214179988005678
3895,54,2,76.68,0,0.4688,1,east,enterprise,0,0,0,0,1,0,0,1.3,0.6461885284672496,0.3250343169618464,0.3211542115054032
7027,34,3,116.32,1,0.8416,1,west,consumer,0,0,1,0,0,0,1,1.3,0.670410460034901,0.3494680569929298,0.3209424030419712
10457,40,26,68.66,2,0.6372,0,north,enterprise,1,0,0,0,1,1,1,0.83,0.5941007196536952,0.2735976416083105,0.32050307804538464
5229,25,75,123.43,4,0.8379,1,north,consumer,1,0,0,0,0,1,0,0.83,0.6495453222213947,0.32915323189580925,0.32039209032558547
999,73,29,93.37,2,0.5012,1,west,smallbiz,0,0,1,1,0,1,0,1.35,0.7663602610666829,0.44650280468444437,0.3198574563822385
11567,28,2,149.46,2,0.8039,1,west,smallbiz,0,0,1,1,0,1,0,1.7,0.7036329842583215,0.38415501130664814,0.3194779729516734
3150,26,2,67.91,5,0.6592,0,east,consumer,0,0,0,0,0,1,0,1.18,0.4987464045575373,0.17961594903831538,0.3191304555192219
8930,30,31,98.99,6,0.6681,1,west,consumer,0,0,1,0,0,1,1,1.13,0.6104251795433009,0.29195670319882583,0.31846847634447506
5699,60,22,101.23,0,0.6327,1,north,consumer,1,0,0,0,0,1,1,1.3,0.7049016082799967,0.3868537757674682,0.3180478325125285
2438,58,34,102.86,3,0.8329,1,south,smallbiz,0,1,0,1,0,0,1,1.35,0.7529237371178639,0.435381792780052,0.31754194433781185
6780,35,2,139.5,2,0.527,0,east,enterprise,0,0,0,0,1,1,1,1.18,0.5758779124934971,0.25843327100805824,0.3174446414854388
9575,60,9,103.13,1,0.7605,1,north,consumer,1,0,0,0,0,1,1,1.3,0.7120409495664262,0.3949398744302902,0.31710107513613595
2127,37,18,102.07,1,0.5609,1,east,consumer,0,0,0,0,0,0,1,1.3,0.6172716191290807,0.3005444817160383,0.31672713741304237
4227,45,20,178.41,6,0.4855,1,south,smallbiz,0,1,0,1,0,1,0,1.7,0.6528876257318058,0.33643518869868266,0.31645243703312315
1091,48,9,129.49,1,0.4545,1,east,consumer,0,0,0,0,0,0,0,1.3,0.6550312937598046,0.33878999411786426,0.31624129964194037
5986,38,17,124.13,1,0.8474,1,south,consumer,0,1,0,0,0,0,1,1.3,0.6753219460807361,0.3592678766247257,0.31605406945601044
1313,63,16,86.44,2,0.5109,0,east,consumer,0,0,0,0,0,0,0,1.18,0.5910587015748846,0.27505435536803935,0.31600434620684525
5549,33,10,142.86,2,0.4593,1,west,consumer,0,0,1,0,0,0,0,1.48,0.6108129107409256,0.2949701794978541,0.3158427312430715
4604,62,48,176.78,4,0.802,1,north,consumer,1,0,0,0,0,1,1,1.13,0.7456394003942887,0.4302139220657348,0.3154254783285539
4316,36,26,93.34,1,0.6206,1,east,smallbiz,0,0,0,1,0,1,1,1.17,0.7000260564218275,0.38476658322873014,0.31525947319309733
6911,55,8,97.0,1,0.7347,1,north,consumer,1,0,0,0,0,1,1,1.3,0.6869684495425988,0.3719644968122029,0.31500395273039594
4180,46,13,69.58,0,0.8234,0,west,consumer,0,0,1,0,0,1,1,1.0,0.6499485372015352,0.33554331084015665,0.3144052263613786
2456,47,39,89.77,5,0.7764,0,east,consumer,0,0,0,0,0,1,1,0.83,0.5950926757264223,0.28151639666836586,0.31357627905805646
6130,41,24,148.45,1,0.5894,1,south,smallbiz,0,1,0,1,0,0,0,1.17,0.7426088549405825,0.429199561321687,0.31340929361889547
158,51,9,145.66,2,0.7964,0,east,consumer,0,0,0,0,0,0,0,1.18,0.665542235483917,0.352190867597585,0.313351367886332
7231,52,19,96.14,3,0.4574,1,south,consumer,0,1,0,0,0,0,0,1.48,0.5899187328123562,0.27658949570866864,0.31332923710368754
370,63,24,77.17,0,0.6723,1,west,consumer,0,0,1,0,0,0,1,0.95,0.7101345113492247,0.39728406252551307,0.3128504488237116
5768,39,3,237.3,4,0.6408,1,west,consumer,0,0,1,0,0,1,0,1.3,0.6376472826190216,0.32495932928137294,0.31268795333764865
1845,61,71,118.39,4,0.4659,1,east,consumer,0,0,0,0,0,1,1,1.13,0.6382183371985379,0.3256695188506633,0.3125488183478746
390,29,6,120.47,1,0.5273,1,south,enterprise,0,1,0,0,1,1,1,1.3,0.6198293093413076,0.3074288900932796,0.312400419248028
10586,68,20,123.49,1,0.5327,1,west,smallbiz,0,0,1,1,0,0,1,1.52,0.7695485342538165,0.45768997391013905,0.3118585603436775
10883,41,7,37.77,1,0.5108,0,north,consumer,1,0,0,0,0,1,0,1.0,0.5571742146809427,0.24532767655565754,0.3118465381252852
11064,67,6,115.49,6,0.7348,0,north,smallbiz,1,0,0,1,0,0,0,1.4,0.6304526320354132,0.3195814453776864,0.31087118665772684
6437,65,2,182.57,2,0.6226,1,east,consumer,0,0,0,0,0,1,1,1.3,0.7567082828871421,0.4462328937566293,0.3104753891305128
5246,33,24,176.31,1,0.5334,1,east,smallbiz,0,0,0,1,0,0,1,1.17,0.7028411675595126,0.39293030928947964,0.309910858270033
4185,24,13,164.24,3,0.4639,1,west,enterprise,0,0,1,0,1,1,1,1.48,0.6026642806529309,0.29283454368517997,0.3098297369677509
10820,65,23,119.38,1,0.6546,1,west,consumer,0,0,1,0,0,1,1,1.3,0.7417219752030203,0.4326939796045548,0.3090279955984655
386,27,24,68.82,3,0.8466,1,east,enterprise,0,0,0,0,1,0,0,1.13,0.5911638084746715,0.2821417001912249,0.3090221082834466
3268,58,70,80.05,3,0.4848,1,east,consumer,0,0,0,0,0,1,1,1.13,0.6850160998588471,0.3763721858718201,0.30864391398702706
11949,30,10,165.58,2,0.5433,1,south,consumer,0,1,0,0,0,1,1,1.48,0.6377996150512912,0.329221006795911,0.30857860825538025
60,58,21,101.52,2,0.745,1,south,consumer,0,1,0,0,0,1,1,1.48,0.7086495797678573,0.4001807593836102,0.30846882038424706
4765,45,33,139.73,1,0.5968,1,west,enterprise,0,0,1,0,1,1,1,0.95,0.7573397625243011,0.4491483362849071,0.30819142623939405
10741,53,27,181.19,2,0.5899,1,north,consumer,1,0,0,0,0,1,1,0.95,0.7450253717392012,0.43740186669921516,0.3076235050399861
9816,27,3,257.38,2,0.5287,1,north,enterprise,1,0,0,0,1,1,0,1.3,0.6623152671871783,0.35479516138192463,0.30752010580525363
5633,49,63,142.69,3,0.4593,1,east,smallbiz,0,0,0,1,0,0,0,1.35,0.7292386961412182,0.4217380385544908,0.30750065758672734
2370,30,9,242.25,1,0.5959,1,east,enterprise,0,0,0,0,1,0,1,1.12,0.675586727681572,0.3686763309677553,0.3069103967138167
10906,62,45,146.45,4,0.5632,0,east,consumer,0,0,0,0,0,1,0,0.83,0.5928699370115539,0.28644961692571047,0.3064203200858434
3435,33,27,100.55,6,0.6184,0,east,consumer,0,0,0,0,0,1,0,0.83,0.5312966917321654,0.22585479758243726,0.30544189414972817
3788,22,18,80.53,1,0.5586,1,north,consumer,1,0,0,0,0,0,0,1.3,0.5575844859681762,0.2522758351528422,0.30530865081533404
10462,65,8,90.76,1,0.6696,1,west,enterprise,0,0,1,0,1,1,1,1.3,0.7277400074104937,0.42284875296799923,0.3048912544424945
383,73,26,73.93,2,0.6214,1,north,enterprise,1,0,0,0,1,1,1,1.13,0.7053924908326873,0.40086681587729145,0.30452567495539584
9190,32,97,139.36,5,0.6008,1,south,enterprise,0,1,0,0,1,0,0,0.83,0.6207523147275141,0.3164318974039131,0.30432041732360104
5623,32,47,105.45,5,0.9352,1,north,consumer,1,0,0,0,0,0,1,1.13,0.6347685290945442,0.3307563607816393,0.3040121683129049
608,49,20,174.77,2,0.7876,1,south,smallbiz,0,1,0,1,0,0,1,1.7,0.7793348688600892,0.47567364581534,0.3036612230447492
3096,62,7,117.6,2,0.5731,0,west,consumer,0,0,1,0,0,0,0,1.18,0.5962064828787293,0.29256834789331276,0.3036381349854166
7700,36,5,202.36,2,0.5893,1,south,consumer,0,1,0,0,0,1,0,1.3,0.647043605758244,0.343462607343112,0.30358099841513203
3716,36,30,88.14,2,0.6039,1,north,consumer,1,0,0,0,0,1,0,1.13,0.6293773229403261,0.32610227984372536,0.30327504309660075
3598,51,46,127.37,4,0.5542,0,east,consumer,0,0,0,0,0,1,1,0.83,0.5558890446670471,0.2527359648982455,0.3031530797688016
9385,44,5,88.94,2,0.6832,0,east,smallbiz,0,0,0,1,0,0,1,1.4,0.6135057477736325,0.31061157043523957,0.30289417733839297
7742,41,6,113.65,4,0.4986,0,south,consumer,0,1,0,0,0,1,0,1.18,0.47073407235925185,0.16809524361853656,0.3026388287407153
10133,74,40,53.92,4,0.5373,1,north,smallbiz,1,0,0,1,0,0,1,1.35,0.6935067055316031,0.3921772607324217,0.3013294447991814
9070,48,19,86.93,2,0.5305,0,east,consumer,0,0,0,0,0,0,0,1.18,0.5320376306418028,0.23133824626291943,0.3006993843788833
1368,45,99,58.54,7,0.6956,1,north,consumer,1,0,0,0,0,0,1,0.83,0.61009802250162,0.30954969428208795,0.3005483282195321
3081,45,56,137.72,1,0.7697,1,east,consumer,0,0,0,0,0,1,1,0.95,0.8010613264753089,0.5007493811554847,0.3003119453198242
2418,35,21,182.69,1,0.7167,1,east,consumer,0,0,0,0,0,1,1,1.12,0.7151846966571471,0.41539895668464943,0.2997857399724977
7822,49,13,90.61,2,0.6252,0,south,consumer,0,1,0,0,0,0,1,1.18,0.5626222072810647,0.26326057879584686,0.29936162848521786
9812,52,8,282.01,0,0.5964,1,west,consumer,0,0,1,0,0,1,1,1.12,0.7409258469232046,0.44346719064091644,0.2974586562822882
5884,33,15,158.06,2,0.4722,1,south,consumer,0,1,0,0,0,1,0,1.48,0.607820937513018,0.31096133604204357,0.29685960147097445
7306,38,20,118.05,0,0.6182,0,east,enterprise,0,0,0,0,1,1,1,1.0,0.6144977590932494,0.3177142626525536,0.29678349644069585
3056,47,93,129.46,3,0.6964,1,north,consumer,1,0,0,0,0,1,1,0.83,0.7384429960754797,0.44232833976999264,0.29611465630548706
10651,50,23,166.95,0,0.5396,1,south,consumer,0,1,0,0,0,1,1,1.3,0.7404355653748379,0.4444441069445218,0.2959914584303161
9627,42,5,163.35,3,0.6436,0,east,consumer,0,0,0,0,0,0,1,1.18,0.5914697321743742,0.29581117482432506,0.2956585573500491
1615,24,11,225.88,3,0.693,1,west,consumer,0,0,1,0,0,0,0,1.3,0.6561161460010605,0.3605924664070355,0.295523679594025
9619,43,76,125.71,3,0.5055,1,east,smallbiz,0,0,0,1,0,1,1,1.05,0.7189655946087075,0.4234981657996312,0.2954674288090763
10043,41,50,120.59,3,0.5123,1,north,smallbiz,1,0,0,1,0,1,1,1.35,0.7264806542038569,0.43103692293972945,0.29544373126412743
2274,46,17,122.64,2,0.6146,0,south,consumer,0,1,0,0,0,1,1,1.18,0.5500562457977808,0.2546270308547493,0.2954292149430315
11988,70,44,78.88,4,0.5786,1,west,consumer,0,0,1,0,0,0,1,1.13,0.6776278043585118,0.3823103972649092,0.2953174070936026
8364,28,74,128.56,3,0.6244,1,east,consumer,0,0,0,0,0,0,1,0.83,0.6889869607279034,0.3939344320084125,0.29505252871949095
11399,53,37,157.14,5,0.7021,0,north,consumer,1,0,0,0,0,0,0,0.83,0.6080366328618347,0.3130585433023071,0.29497808955952765
11424,51,7,92.23,2,0.6296,0,south,consumer,0,1,0,0,0,0,1,1.18,0.5709065479424132,0.27605653110508255,0.2948500168373307
401,75,7,104.12,1,0.907,1,west,consumer,0,0,1,0,0,0,1,1.3,0.746556427565833,0.4524240619192233,0.29413236564660966
5166,25,65,53.68,5,0.5929,0,west,enterprise,0,0,1,0,1,0,0,0.83,0.5353659250345101,0.2413646272520901,0.29400129778242
7750,75,25,131.81,1,0.8552,1,west,smallbiz,0,0,1,1,0,0,0,1.17,0.8124246375733583,0.5188642696207838,0.29356036795257445
3918,67,13,127.74,3,0.6668,0,south,consumer,0,1,0,0,0,0,0,1.18,0.6257148862108097,0.3321744866275688,0.2935403995832409
2768,75,8,51.11,0,0.5978,1,north,consumer,1,0,0,0,0,1,1,1.3,0.6690604664369825,0.37576012861973024,0.29330033781725223
2398,36,85,160.67,5,0.6541,1,north,smallbiz,1,0,0,1,0,1,1,1.05,0.6733958125799242,0.38029177784486295,0.29310403473506125
3331,54,73,168.8,4,0.4978,1,west,consumer,0,0,1,0,0,0,1,0.83,0.6902035856861429,0.3979145885165954,0.29228899716954754
6307,65,24,82.29,1,0.7907,1,west,consumer,0,0,1,0,0,0,1,0.95,0.7252558153283089,0.43303712623006146,0.2922186890982474
9594,31,22,123.02,2,0.7342,1,south,smallbiz,0,1,0,1,0,0,1,1.7,0.6846289239102561,0.39266995360754764,0.29195897030270845
4381,72,23,109.14,1,0.5305,1,north,consumer,1,0,0,0,0,0,0,1.3,0.7348915198648013,0.44308033274130054,0.29181118712350074
6988,54,71,142.25,1,0.849,1,west,consumer,0,0,1,0,0,0,1,0.95,0.8117070303321986,0.520154549697653,0.29155248063454564
6185,30,47,164.77,4,0.7271,1,south,consumer,0,1,0,0,0,0,0,1.13,0.6554723389965632,0.36421466262478325,0.29125767637177996
4111,21,2,163.05,2,0.4886,1,east,consumer,0,0,0,0,0,1,0,1.48,0.6143224994322706,0.3231820755981779,0.29114042383409267
11387,50,73,115.87,2,0.7406,1,west,consumer,0,0,1,0,0,0,1,0.83,0.773748727021726,0.4829161921695352,0.29083253485219085
9762,29,13,92.91,3,0.6529,0,south,consumer,0,1,0,0,0,0,1,1.18,0.5130048420410596,0.22242665235789716,0.2905781896831624
10488,35,78,61.54,4,0.6044,0,east,consumer,0,0,0,0,0,0,1,0.53,0.5206691064426576,0.23059817408611244,0.2900709323565452
7657,65,101,139.12,4,0.6746,1,south,smallbiz,0,1,0,1,0,0,0,1.05,0.7236358988773113,0.43368374936451376,0.2899521495127975
9399,69,14,61.36,1,0.7548,1,north,smallbiz,1,0,0,1,0,0,0,1.52,0.7204643614601829,0.4307221392469677,0.2897422222132152
