id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,customer_id,prior_accepts,accepted_any_prior,response_last_campaign,campaign_touch_total,children,total_spend,high_recency,web_loyal,store_loyal,deal_engaged,web_heavy,catalog_engaged,revenue_band,education_phd,education_master,education_graduation,married,single,treatment,outcome,true_uplift_logit,p_if_treated,p_if_control,pred_uplift
10240,1949,Graduation,Together,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,10240,2,True,1,3,0,1381,1,1,1,0,0,1,11,0,0,1,1,0,1,1,1.82,0.8636797722633124,0.5255886134535164,0.338091158809796
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,0,3,11,1,340,1,True,1,2,1,497,1,1,1,0,0,0,11,0,0,1,0,1,1,1,1.4999999999999998,0.7947931312849482,0.4583820943707471,0.3364110369142011
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,7247,1,True,0,2,1,606,0,1,1,1,0,1,11,0,0,1,0,1,1,1,1.12,0.703566833112588,0.36793056750078695,0.3356362656118011
5547,1982,PhD,Married,84169.0,0,0,2013-08-07,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,3,11,1,5547,2,True,1,3,0,1919,1,1,1,0,0,1,11,1,0,0,1,0,1,1,1.6,0.9219441158001512,0.5863529921022874,0.3355911236978638
1118,1956,Master,Married,50965.0,0,1,2013-02-20,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,3,11,0,1118,1,True,0,2,1,685,0,1,1,1,1,1,11,0,1,0,1,0,0,0,0.81,0.7003523868687274,0.3653108527214777,0.3350415341472497
10507,1977,2n Cycle,Divorced,59601.0,0,1,2013-07-25,14,691,7,69,0,7,23,4,2,2,7,8,0,1,0,0,0,0,3,11,0,10507,1,True,0,2,1,797,1,0,1,1,1,0,11,0,0,0,0,1,0,0,0.96,0.7292081487504463,0.3982118332448947,0.3309963155055516
8029,1988,Master,Single,90247.0,0,0,2014-04-29,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,3,11,1,8029,3,True,1,4,0,1621,1,0,1,0,0,1,11,0,1,0,0,1,1,0,1.94,0.8988333811555098,0.5700259985599717,0.3288073825955381
10430,1973,Graduation,Divorced,89694.0,1,1,2013-10-09,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,3,11,0,10430,3,True,0,4,2,1472,1,0,0,1,0,1,11,0,0,1,0,1,1,1,1.75,0.7994219653560087,0.471821861018987,0.32760010433702175
9560,1965,Graduation,Together,83003.0,0,0,2013-03-03,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,3,11,1,9560,1,True,1,2,0,1674,1,1,1,0,0,1,11,0,0,1,1,0,1,1,1.6399999999999997,0.9145298730148533,0.5870843861208801,0.32744548689397324
3009,1962,PhD,Widow,71670.0,0,0,2013-07-09,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,0,3,11,1,3009,3,True,1,4,0,1766,1,1,1,0,0,1,11,1,0,0,0,1,0,1,1.7800000000000002,0.8755676781558691,0.5488092200950139,0.32675845806085524
5204,1971,Graduation,Together,74538.0,0,0,2013-06-29,21,380,98,733,110,112,28,1,8,8,5,3,0,0,1,0,0,0,3,11,1,5204,1,True,1,2,0,1461,1,1,1,0,0,1,11,0,0,1,1,0,0,1,1.6399999999999997,0.8831138042794445,0.5568361621741615,0.326277642105283
6072,1970,Master,Single,75345.0,0,0,2013-02-02,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,0,3,11,1,6072,1,True,1,2,0,2087,1,1,1,0,0,1,11,0,1,0,0,1,1,1,1.5799999999999996,0.9008157207634933,0.5747401167127634,0.3260756040507299
2350,1972,Graduation,Married,59666.0,1,1,2013-03-22,87,623,53,178,23,17,133,7,3,2,8,8,0,1,0,0,0,0,3,11,0,2350,1,True,0,2,2,1027,0,0,1,1,1,0,11,0,0,1,1,0,1,0,0.55,0.713611309212394,0.3890711011365591,0.3245402080758349
5113,1971,PhD,Divorced,86979.0,0,0,2013-11-07,67,584,100,835,65,83,35,1,5,5,5,2,1,0,0,0,0,0,3,11,1,5113,1,True,1,2,0,1702,0,1,1,0,0,1,11,1,0,0,0,1,1,1,0.97,0.8875146926305979,0.5644305117205205,0.3230841809100774
4530,1948,Master,Widow,78427.0,0,0,2012-10-24,36,972,19,595,180,26,138,3,3,7,10,3,0,0,0,1,0,0,3,11,1,4530,1,True,1,2,0,1930,0,0,1,1,0,1,11,0,1,0,0,1,1,1,1.4099999999999997,0.887903613771454,0.5648677508153025,0.3230358629561515
1763,1988,Graduation,Together,87679.0,0,0,2013-07-27,62,1259,172,815,97,148,33,1,7,11,10,4,1,0,1,1,0,0,3,11,1,1763,3,True,1,4,0,2524,0,1,1,0,0,1,11,0,0,1,1,0,1,1,1.5500000000000005,0.9102980442628954,0.5877113017426705,0.3225867425202249
3643,1974,Master,Married,63206.0,0,0,2014-03-20,65,750,8,125,11,8,26,1,4,3,6,2,0,0,1,0,0,0,3,11,0,3643,1,True,0,2,0,928,0,0,1,0,0,1,11,0,1,0,1,0,0,0,0.7799999999999999,0.7769118283194808,0.45548089350804427,0.32143093481143653
1079,1971,PhD,Married,71969.0,0,1,2012-10-16,59,1000,0,76,0,0,10,3,3,4,9,8,0,1,0,0,0,0,3,11,0,1079,1,True,0,2,1,1086,0,0,1,1,1,1,11,1,0,0,1,0,1,0,0.65,0.7743221017097519,0.453184373166037,0.3211377285437149
1172,1983,PhD,Married,92491.0,0,0,2013-05-01,71,979,44,935,29,25,22,1,7,5,12,3,0,1,1,1,0,0,3,11,1,1172,3,True,1,4,0,2034,0,1,1,0,0,1,11,1,0,0,1,0,1,1,1.33,0.8951881839347917,0.5744900048909888,0.32069817904380293
6248,1947,Master,Single,91712.0,0,0,2013-10-17,47,1276,24,746,94,29,48,0,9,7,11,3,0,0,1,0,0,0,3,11,1,6248,1,True,1,2,0,2217,0,1,1,0,0,1,11,0,1,0,0,1,1,1,1.13,0.9060398491083929,0.5863899870111574,0.31964986209723545
10448,1956,Graduation,Single,46998.0,0,1,2012-10-22,55,172,41,86,45,6,27,5,5,3,5,7,1,0,0,0,0,0,3,11,0,10448,1,True,0,2,1,377,0,1,1,1,0,1,11,0,0,1,0,1,1,0,1.12,0.6540518448850625,0.3348186288061213,0.31923321607894123
5350,1991,Master,Single,90638.0,0,0,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,3,11,1,5350,1,True,1,2,0,2525,1,0,1,0,0,1,11,0,1,0,0,1,0,0,1.5799999999999996,0.8909028612337725,0.5717287757654339,0.3191740854683386
2942,1964,Graduation,Single,45906.0,0,1,2013-05-07,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,0,2942,1,True,0,2,1,486,1,1,0,0,0,1,11,0,0,1,0,1,0,0,1.29,0.6882526366398645,0.36910893668468087,0.3191436999551836
4580,1969,Graduation,Married,75759.0,0,0,2013-10-25,46,1394,22,708,89,91,182,1,9,7,9,5,1,0,1,1,0,0,3,11,1,4580,3,True,1,4,0,2486,0,1,1,0,0,1,11,0,0,1,1,0,1,1,1.5500000000000005,0.8931378765579959,0.5756740129696992,0.3174638635882967
10972,1949,Graduation,Widow,72298.0,0,0,2014-03-10,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,3,11,0,10972,2,True,0,3,0,939,0,0,1,0,0,1,11,0,0,1,0,1,1,1,1.02,0.7931344300233759,0.4764453747007627,0.3166890553226132
4998,1962,Graduation,Together,76081.0,0,0,2014-05-23,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0,3,11,0,4998,1,True,0,2,0,1033,0,0,0,0,0,1,11,0,0,1,1,0,1,1,0.84,0.7730152396334079,0.46104914643978967,0.31196609319361823
7321,1962,Graduation,Together,76081.0,0,0,2014-05-23,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0,3,11,0,7321,1,True,0,2,0,1033,0,0,0,0,0,1,11,0,0,1,1,0,0,1,0.84,0.7730152396334079,0.46104914643978967,0.31196609319361823
10319,1971,Graduation,Married,66303.0,0,1,2013-02-26,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,0,0,0,0,3,11,0,10319,1,True,0,2,1,1286,0,0,1,1,1,1,11,0,0,1,1,0,1,0,0.87,0.7603610906438496,0.44885704587746245,0.31150404476638716
1139,1984,PhD,Married,73356.0,0,0,2014-02-06,56,1050,14,322,0,14,112,1,5,11,5,2,1,0,1,1,0,0,3,11,1,1139,3,True,1,4,0,1512,0,1,1,0,0,1,11,1,0,0,1,0,1,1,1.33,0.8791874542394051,0.569911934142177,0.30927552009722814
1772,1975,PhD,Married,79174.0,0,0,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,0,3,11,1,1772,2,True,1,3,0,2043,1,1,1,0,0,1,11,1,0,0,1,0,1,1,1.6,0.9089478497477024,0.6029494652685331,0.30599838447916927
9516,1971,2n Cycle,Divorced,49118.0,0,0,2012-08-18,90,620,54,239,99,98,119,2,9,7,10,7,0,1,0,0,1,0,3,11,1,9516,2,True,1,3,0,1229,0,1,1,0,0,1,11,0,0,0,0,1,1,1,1.15,0.7666465938403272,0.4652050635416092,0.301441530298718
4310,1944,Graduation,Married,80589.0,0,0,2014-01-22,25,507,93,520,242,40,26,1,5,10,5,1,0,0,0,1,0,0,3,11,1,4310,1,True,1,2,0,1428,1,1,1,0,0,1,11,0,0,1,1,0,1,1,1.6399999999999997,0.8825612084282067,0.5821130760898671,0.30044813233833967
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,8132,1,True,0,2,2,661,0,1,1,1,0,0,11,1,0,0,1,0,1,0,0.5800000000000001,0.7097746557704526,0.41043721453908394,0.2993374412313687
7476,1964,Master,Single,63972.0,0,1,2012-12-02,93,928,63,254,0,12,12,4,5,4,10,4,0,1,0,0,0,0,3,11,0,7476,1,True,0,2,1,1269,0,1,1,1,0,1,11,0,1,0,0,1,1,0,1.06,0.7788535348110355,0.4801174733108117,0.29873606150022375
7366,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,7366,2,True,1,3,0,1438,1,0,1,0,0,1,11,0,1,0,0,1,1,1,1.7599999999999998,0.8824791039008995,0.5845337520172169,0.29794535188368254
9206,1968,Graduation,Together,77382.0,0,1,2014-01-07,36,491,48,231,112,105,134,2,5,7,12,1,0,0,1,0,0,0,3,11,0,9206,1,True,0,2,1,1121,0,1,1,0,0,1,11,0,0,1,1,0,0,1,0.84,0.8129241507806381,0.517074907503249,0.29584924327738904
3104,1961,Graduation,Single,82332.0,0,0,2012-09-17,89,830,59,968,51,79,19,1,5,3,12,2,0,0,1,0,0,0,3,11,1,3104,1,True,1,2,0,2006,0,1,1,0,0,1,11,0,0,1,0,1,1,0,1.19,0.8770787465861415,0.5825468460172559,0.29453190056888556
988,1965,Graduation,Married,81168.0,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,3,11,0,988,1,True,0,2,0,1193,0,1,1,0,0,1,11,0,0,1,1,0,0,0,0.84,0.8049181604534301,0.5110343556760479,0.2938838047773822
5628,1982,Graduation,Together,61416.0,0,0,2013-02-08,25,848,154,323,201,61,78,1,10,3,10,6,1,0,0,0,0,0,3,11,0,5628,1,True,0,2,0,1665,1,1,1,0,0,1,11,0,0,1,1,0,1,1,1.29,0.7961753735358968,0.5040097932276991,0.2921655803081977
3412,1951,Master,Married,67381.0,0,1,2013-01-15,67,815,8,53,11,0,70,4,2,2,9,7,0,1,0,0,0,0,3,11,0,3412,1,True,0,2,1,957,0,0,1,1,0,0,11,0,1,0,1,0,0,1,0.92,0.7189416602238454,0.42701527084914054,0.2919263893747049
7270,1981,Graduation,Divorced,56981.0,0,0,2014-01-25,91,908,48,217,32,12,24,1,2,3,13,6,0,1,0,0,0,0,3,11,0,7270,1,True,0,2,0,1241,0,0,1,0,0,1,11,0,0,1,0,1,1,1,0.84,0.7401888444295395,0.4488345898462696,0.29135425458326986
1150,1899,PhD,Together,83532.0,0,0,2013-09-26,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,3,11,0,1150,1,True,0,2,0,1853,0,0,0,0,0,1,11,1,0,0,1,0,0,1,0.62,0.830023900962308,0.5395255400235123,0.2904983609387958
7233,1972,Graduation,Married,69209.0,0,0,2012-09-17,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,3,11,0,7233,1,True,0,2,0,1782,1,1,1,0,0,1,11,0,0,1,1,0,1,1,1.29,0.8154496650839367,0.5266179790657022,0.2888316860182345
9606,1965,PhD,Married,69969.0,0,0,2013-08-27,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,3,11,1,9606,2,True,1,3,0,1536,0,0,1,0,0,0,11,1,0,0,1,0,1,1,1.0099999999999998,0.8038920135773653,0.5150760133329042,0.2888160002444611
10846,1978,Master,Married,43783.0,1,0,2014-05-29,22,327,9,125,25,4,139,6,7,1,8,7,1,0,0,0,0,0,3,11,0,10846,1,True,0,2,1,629,1,1,1,1,0,0,11,0,1,0,1,0,0,1,1.37,0.6346426530274886,0.3493188551035132,0.2853237979239754
5153,1967,PhD,Married,77766.0,0,1,2013-02-22,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,3,11,1,5153,1,True,1,2,1,1529,0,1,1,0,0,1,11,1,0,0,1,0,1,1,0.97,0.8627749746390054,0.5783688566130128,0.2844061180259926
4127,1967,PhD,Married,77766.0,0,1,2013-02-22,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,3,11,1,4127,1,True,1,2,1,1529,0,1,1,0,0,1,11,1,0,0,1,0,1,1,0.97,0.8627749746390054,0.5783688566130128,0.2844061180259926
1245,1966,Graduation,Single,63810.0,0,1,2012-11-11,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,3,11,0,1245,1,True,0,2,1,1371,0,0,1,1,1,1,11,0,0,1,0,1,0,1,0.87,0.7543712691395056,0.4708472816680069,0.2835239874714987
2561,1966,Graduation,Single,63810.0,0,1,2012-11-11,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,3,11,0,2561,1,True,0,2,1,1371,0,0,1,1,1,1,11,0,0,1,0,1,1,1,0.87,0.7543712691395056,0.4708472816680069,0.2835239874714987
1990,1974,PhD,Single,63159.0,0,0,2012-11-05,74,965,34,586,89,86,37,1,3,5,8,3,1,0,0,0,0,0,3,11,0,1990,1,True,0,2,0,1797,0,0,1,0,0,1,11,1,0,0,0,1,1,1,0.62,0.7963994359863782,0.5135853854722331,0.2828140505141451
1685,1967,PhD,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,1685,1,True,0,2,0,1482,1,0,1,0,0,1,11,1,0,0,1,0,1,1,1.0699999999999998,0.7918763083958333,0.5100167465213823,0.28185956187445105
8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,8026,0,False,0,1,1,463,1,1,1,1,0,1,11,0,0,1,1,0,1,0,1.09,0.6716864456213182,0.3910173537123585,0.28066909190895967
6606,1969,Master,Married,70091.0,1,0,2013-03-31,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,3,11,0,6606,1,True,0,2,1,1161,1,1,1,0,1,0,11,0,1,0,1,0,1,1,0.8399999999999999,0.7496485212805497,0.47042369726346833,0.2792248240170814
3202,1987,PhD,Married,51563.0,0,0,2012-10-01,60,1166,0,48,0,0,36,1,4,4,10,8,0,1,1,0,0,0,3,11,0,3202,2,True,0,3,0,1250,0,0,1,0,1,1,11,1,0,0,1,0,1,0,0.55,0.7111344249264622,0.43300632136080053,0.27812810356566164
955,1962,Master,Together,47175.0,1,1,2012-10-28,81,167,2,44,6,2,19,7,4,2,4,8,1,0,0,0,0,0,3,11,1,955,1,True,1,2,2,240,0,0,0,1,1,0,11,0,1,0,1,0,0,0,0.8400000000000001,0.5730904188267039,0.29557076757870016,0.2775196512480037
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1592,2,True,0,3,0,1724,1,0,1,0,0,1,11,0,0,1,1,0,1,1,1.4700000000000002,0.860479533496424,0.583675688351422,0.276803845145002
4058,1955,PhD,Single,61284.0,0,0,2013-10-12,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,3,11,0,4058,1,True,0,2,0,811,0,1,1,0,0,0,11,1,0,0,0,1,1,0,0.48,0.7315457703608494,0.457794977608766,0.27375079275208347
4856,1957,2n Cycle,Married,82347.0,0,0,2012-11-06,38,556,54,845,202,133,63,1,7,7,10,3,1,0,0,1,0,0,3,11,0,4856,2,True,0,3,0,1853,0,1,1,0,0,1,11,0,0,0,1,0,1,1,0.7999999999999999,0.8613115167452268,0.5888201196762912,0.27249139706893555
8779,1985,2n Cycle,Married,36145.0,1,0,2013-06-16,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,3,11,1,8779,1,True,1,2,1,172,1,0,0,1,1,0,11,0,0,0,1,0,0,0,1.61,0.5522459097478439,0.28207601828246476,0.2701698914653792
1173,1947,Master,Together,77632.0,0,0,2013-03-10,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,3,11,1,1173,2,True,1,3,0,2252,0,0,1,0,0,0,11,0,1,0,1,0,0,1,1.17,0.8197829711166066,0.5520935469919649,0.2676894241246417
5735,1991,Master,Single,90638.0,0,0,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,3,11,0,5735,1,True,0,2,0,2525,1,0,1,0,0,1,11,0,1,0,0,1,0,0,1.23,0.8381794190617166,0.571336699067012,0.26684271999470455
4686,1962,PhD,Widow,82571.0,0,0,2014-04-02,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,3,11,0,4686,1,True,0,2,0,1686,1,1,1,0,0,1,11,1,0,0,0,1,1,1,1.0699999999999998,0.8454024499846174,0.5790540512857948,0.26634839869882265
2521,1971,Master,Married,35178.0,1,0,2013-01-10,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,3,11,1,2521,1,True,1,2,1,59,1,0,0,0,0,0,11,0,1,0,1,0,1,0,1.74,0.5343495996735631,0.2683962433852079,0.2659533562883552
4827,1956,PhD,Single,54998.0,0,1,2013-03-10,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,0,3,11,1,4827,0,False,1,1,1,455,1,0,1,1,0,0,11,1,0,0,0,1,0,0,1.08,0.6360844985021984,0.37078448983130585,0.26530000867089254
4767,1965,2n Cycle,Married,70924.0,0,0,2014-04-07,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,3,11,0,4767,1,True,0,2,0,1363,0,1,1,0,0,1,11,0,0,0,1,0,1,1,0.62,0.8250313649161566,0.5609876938952952,0.26404367102086135
10521,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,3,11,1,10521,0,False,1,1,2,174,1,0,1,1,0,0,11,0,0,1,1,0,1,1,1.12,0.5526528794579438,0.2889408612731944,0.26371201818474943
3225,1984,Master,Married,42207.0,1,0,2013-04-01,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,3,11,1,3225,1,True,1,2,1,265,0,0,1,1,0,0,11,0,1,0,1,0,1,0,1.2699999999999998,0.5392745615215314,0.2771329479215437,0.2621416135999877
6963,1947,Graduation,Single,77457.0,0,0,2014-03-05,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,3,11,0,6963,1,True,0,2,0,1157,0,0,1,0,0,1,11,0,0,1,0,1,0,1,0.84,0.7740356705072208,0.51200406707219,0.26203160343503074
3334,1951,Graduation,Married,94642.0,0,0,2014-02-12,35,879,143,797,106,143,143,0,5,7,9,1,0,0,1,1,0,0,3,11,0,3334,2,True,0,3,0,2211,0,1,1,0,0,1,11,0,0,1,1,0,1,1,1.02,0.859978869799487,0.5989645887118485,0.26101428108763847
1340,1986,Graduation,Married,92910.0,0,0,2014-04-24,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,3,11,0,1340,3,True,0,4,0,1795,0,1,1,0,0,1,11,0,0,1,1,0,0,1,1.2000000000000002,0.857314996724519,0.5968652077490701,0.2604497889754489
697,1969,Graduation,Together,74918.0,0,0,2013-03-12,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,3,11,0,697,1,True,0,2,0,2047,0,1,1,0,0,1,11,0,0,1,1,0,1,1,0.84,0.8329315484144827,0.5746979795278329,0.25823356888664983
837,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,3,11,0,837,0,False,0,1,2,174,1,0,1,1,0,0,11,0,0,1,1,0,0,1,0.77,0.5440513738810921,0.28593821427888527,0.2581131596022069
6218,1965,Graduation,Married,59594.0,0,1,2012-10-20,74,457,4,29,0,0,9,1,8,1,7,7,0,1,0,0,0,0,3,11,0,6218,1,True,0,2,1,499,0,1,1,0,0,0,11,0,0,1,1,0,0,0,0.7,0.6363122091169603,0.37886302916940795,0.25744917994755234
2975,1976,Graduation,Together,85606.0,0,1,2012-11-12,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,3,11,0,2975,1,True,0,2,1,1956,0,1,1,0,0,1,11,0,0,1,1,0,1,1,0.84,0.8385032522226553,0.5812363035058381,0.2572669487168172
8346,1974,Graduation,Single,32233.0,1,0,2012-08-19,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,3,11,1,8346,1,True,1,2,1,296,1,1,0,0,1,0,11,0,0,1,0,1,1,0,1.55,0.5789283689286767,0.3223111999870439,0.25661716894163283
